Pose Partition Network for Multi-Person Pose Estimation [Train and Val Phase]
Loading training json file: dataset/mpi/jsons/MPI_MP_TRAIN_annotations.json...
Finished loading training json file
Loading validation json file: dataset/mpi/jsons/MPI_MP_VAL_annotations.json...
Finished loading evaluation json file
Epoch: [1][520/615] 	CurLR: 0.003 	Loss 0.120481 (0.325841)	BatchTime 1.569 (1.653) 	
Epoch: [1][530/615] 	CurLR: 0.003 	Loss 0.127837 (0.321991)	BatchTime 1.577 (1.652) 	
Epoch: [1][540/615] 	CurLR: 0.003 	Loss 0.104729 (0.318101)	BatchTime 1.570 (1.651) 	
Epoch: [1][550/615] 	CurLR: 0.003 	Loss 0.097711 (0.314051)	BatchTime 1.616 (1.651) 	
Epoch: [1][560/615] 	CurLR: 0.003 	Loss 0.095808 (0.310137)	BatchTime 1.562 (1.650) 	
Epoch: [1][570/615] 	CurLR: 0.003 	Loss 0.131247 (0.306637)	BatchTime 1.929 (1.650) 	
Epoch: [1][580/615] 	CurLR: 0.003 	Loss 0.104551 (0.303314)	BatchTime 1.623 (1.649) 	
Epoch: [1][590/615] 	CurLR: 0.003 	Loss 0.098468 (0.299895)	BatchTime 1.575 (1.648) 	
Epoch: [1][600/615] 	CurLR: 0.003 	Loss 0.096512 (0.296462)	BatchTime 1.576 (1.648) 	
Epoch: [1][610/615] 	CurLR: 0.003 	Loss 0.150573 (0.293474)	BatchTime 1.570 (1.647) 	
Epoch: [2][1/615] 	CurLR: 0.003 	Loss 0.119518 (0.119518)	BatchTime 6.854 (6.854) 	
Epoch: [2][10/615] 	CurLR: 0.003 	Loss 0.114326 (0.115581)	BatchTime 1.560 (2.110) 	
Epoch: [2][20/615] 	CurLR: 0.003 	Loss 0.096074 (0.110068)	BatchTime 1.566 (1.862) 	
Epoch: [2][30/615] 	CurLR: 0.003 	Loss 0.091555 (0.105513)	BatchTime 1.558 (1.783) 	
Epoch: [2][40/615] 	CurLR: 0.003 	Loss 0.107433 (0.105142)	BatchTime 1.631 (1.744) 	
Epoch: [2][50/615] 	CurLR: 0.003 	Loss 0.099492 (0.104718)	BatchTime 1.676 (1.721) 	
